5.1223, 0.0000, 0.00
5.7267, -0.1250, -2.50
7.1837, -0.3750, -5.00
8.1057, -0.1250, 5.00
8.8711, 0.0000, 2.50
9.4992, 0.1250, 2.50
10.0058, 0.2500, 2.50
10.0509, 0.5000, 5.00
10.6936, 0.3750, -2.50
12.3006, 0.1250, -5.00
14.2066, 0.1250, 0.00
16.1100, 0.2500, 2.50
18.0588, 0.3750, 2.50
20.4428, 0.3750, 0.00
22.6461, 0.6250, 5.00
24.7288, 0.8750, 5.00
28.0492, 0.6250, -5.00
31.3977, 0.8750, 5.00
36.0888, 0.6250, -5.00
41.8962, 0.5000, -2.50
48.6409, 0.5000, 0.00
5.1223, 0.0000, 0.00
5.3700, 0.0000, 0.00
6.1056, -0.1250, -2.50
7.7026, -0.3750, -5.00
8.7780, -0.1250, 5.00
10.4216, -0.2500, -2.50
11.6147, 0.0000, 5.00
13.4411, -0.1250, -2.50
16.2905, -0.3750, -5.00
20.2210, -0.6250, -5.00
24.9728, -0.7500, -2.50
30.6419, -0.8750, -2.50
36.7182, -0.7500, 2.50
43.0598, -0.5000, 5.00
50.8831, -0.7500, -5.00
5.1223, 0.0000, 0.00
5.3700, 0.0000, 0.00
6.4621, -0.2500, -5.00
7.7122, -0.2500, 0.00
9.8604, -0.5000, -5.00
12.2490, -0.5000, 0.00
14.2355, -0.2500, 5.00
16.9143, -0.3750, -2.50
19.6589, -0.2500, 2.50
23.5502, -0.5000, -5.00
27.6740, -0.3750, 2.50
32.1328, -0.2500, 2.50
37.6413, -0.3750, -2.50
44.0072, -0.3750, 0.00
51.0908, -0.2500, 2.50
5.1223, 0.0000, 0.00
4.6567, 0.2500, 5.00
3.9481, 0.3750, 2.50
3.3361, 0.3750, 0.00
2.8058, 0.3750, 0.00
1.9866, 0.5000, 2.50
0.5003, 0.7500, 5.00
-0.9738, 0.7500, 0.00
-1.7557, 0.5000, -5.00
-2.2226, 0.3750, -2.50
-3.4596, 0.6250, 5.00
-4.4239, 0.5000, -2.50
-5.4964, 0.5000, 0.00
-7.4163, 0.7500, 5.00
-8.8073, 0.5000, -5.00
-10.0592, 0.3750, -2.50
-11.5564, 0.3750, 0.00
-14.0364, 0.6250, 5.00
-16.5095, 0.5000, -2.50
-20.0682, 0.7500, 5.00
-23.4358, 0.5000, -5.00
-28.0188, 0.7500, 5.00
-33.2613, 0.7500, 0.00
-38.9743, 0.6250, -2.50
-45.8485, 0.7500, 2.50
4.4089, 0.2500, 5.00
3.5686, 0.3750, 2.50
2.1009, 0.6250, 5.00
1.4004, 0.3750, -5.00
0.7342, 0.3750, 0.00
0.0860, 0.3750, 0.00
-0.5601, 0.3750, 0.00
-1.2200, 0.3750, 0.00
-1.9097, 0.3750, 0.00
-3.0041, 0.5000, 2.50
-4.5296, 0.6250, 2.50
-6.5231, 0.7500, 2.50
-8.6759, 0.7500, 0.00
-11.7486, 1.0000, 5.00
-15.1070, 1.0000, 0.00
-18.4856, 0.8750, -2.50
-22.3093, 0.8750, 0.00
-26.9971, 1.0000, 2.50
-32.6412, 1.1250, 2.50
-38.7410, 1.0000, -2.50
-46.2778, 1.2500, 5.00
4.4089, 0.2500, 5.00
4.2827, 0.1250, -2.50
3.5471, 0.3750, 5.00
2.5410, 0.5000, 2.50
2.3127, 0.2500, -5.00
2.4987, 0.1250, -2.50
2.7460, 0.1250, 0.00
3.7759, -0.1250, -5.00
4.5409, 0.0000, 2.50
5.0601, 0.1250, 2.50
4.9897, 0.3750, 5.00
5.3981, 0.2500, -2.50
5.9386, 0.2500, 0.00
6.6243, 0.2500, 0.00
7.1162, 0.3750, 2.50
7.0714, 0.6250, 5.00
7.5547, 0.5000, -2.50
8.9326, 0.2500, -5.00
10.1746, 0.3750, 2.50
11.3122, 0.5000, 2.50
13.0763, 0.3750, -2.50
15.1580, 0.3750, 0.00
17.6067, 0.3750, 0.00
19.7974, 0.6250, 5.00
22.8004, 0.5000, -2.50
26.3475, 0.5000, 0.00
29.8757, 0.7500, 5.00
33.4822, 1.0000, 5.00
38.1618, 0.8750, -2.50
44.2718, 0.6250, -5.00
50.8489, 0.8750, 5.00
4.4089, 0.2500, 5.00
3.9257, 0.2500, 0.00
3.8958, 0.1250, -2.50
3.2468, 0.3750, 5.00
2.6773, 0.3750, 0.00
2.5310, 0.2500, -2.50
1.7313, 0.5000, 5.00
0.6160, 0.6250, 2.50
-0.8423, 0.7500, 2.50
-2.6792, 0.8750, 2.50
-4.5818, 0.8750, 0.00
-6.9535, 1.0000, 2.50
-8.7842, 0.7500, -5.00
-10.8292, 0.7500, 0.00
-12.4346, 0.5000, -5.00
-14.6919, 0.6250, 2.50
-16.6124, 0.3750, -5.00
-19.2774, 0.5000, 2.50
-22.0679, 0.3750, -2.50
-25.0538, 0.2500, -2.50
-28.6342, 0.2500, 0.00
-32.2587, 0.0000, -5.00
-36.0268, -0.2500, -5.00
-40.6206, -0.2500, 0.00
-45.8564, -0.3750, -2.50
5.1223, 0.0000, 0.00
5.3700, 0.0000, 0.00
5.0360, 0.2500, 5.00
5.1819, 0.1250, -2.50
4.7414, 0.3750, 5.00
4.7737, 0.2500, -2.50
4.9229, 0.2500, 0.00
5.9061, 0.0000, -5.00
6.3214, 0.2500, 5.00
7.2471, 0.1250, -2.50
8.3499, 0.1250, 0.00
10.3651, -0.1250, -5.00
13.3375, -0.3750, -5.00
15.9367, -0.1250, 5.00
18.5771, 0.0000, 2.50
